type,release_year,rating,cluster,listed_in_0,listed_in_1,listed_in_2,listed_in_3,listed_in_4,listed_in_5,listed_in_6,listed_in_7,listed_in_8,listed_in_9,country_0,country_1,country_2,country_3,country_4,country_5,country_6,country_7,country_8,country_9,duration_numeric,year,month,day
0,2020.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,90.0,2021,9,25
1,2021.0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.0,2021,9,24
1,2021.0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1.0,2021,9,24
1,2021.0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.0,2021,9,24
1,2021.0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2.0,2021,9,24
1,2021.0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1.0,2021,9,24
0,2021.0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,91.0,2021,9,24
0,2017.0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,125.0,2021,9,24
1,2021.0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,8.0,2021,9,24
0,2021.0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,104.0,2021,9,24
1,2021.0,4,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1.0,2021,9,24
1,2021.0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1.0,2021,9,23
0,2021.0,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,127.0,2021,9,23
0,2021.0,7,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,91.0,2021,9,22
1,2021.0,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1.0,2021,9,22
1,2021.0,4,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,4.0,2021,9,22
0,2020.0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,67.0,2021,9,22
1,2020.0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,2021,9,22
0,2021.0,6,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,94.0,2021,9,22
1,2021.0,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1.0,2021,9,22
1,2021.0,6,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1.0,2021,9,22
1,2018.0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,5.0,2021,9,22
0,2017.0,7,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,161.0,2021,9,21
0,2021.0,8,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,61.0,2021,9,21
0,2017.0,6,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,166.0,2021,9,21
1,2021.0,6,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,2.0,2021,9,21
0,2017.0,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,147.0,2021,9,21
0,2010.0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,103.0,2021,9,20
0,2013.0,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,97.0,2021,9,19
0,2013.0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,106.0,2021,9,19
0,2021.0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,111.0,2021,9,17
1,2021.0,4,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1.0,2021,9,17
1,2020.0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,3.0,2021,9,17
1,2021.0,4,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1.0,2021,9,17
1,2020.0,14,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1.0,2021,9,17
0,2021.0,4,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,110.0,2021,9,17
0,2021.0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,105.0,2021,9,17
1,2018.0,14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.0,2021,9,16
0,2017.0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,96.0,2021,9,16
1,2021.0,14,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,3.0,2021,9,16
1,2021.0,14,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1.0,2021,9,16
0,2017.0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,124.0,2021,9,16
0,2017.0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,116.0,2021,9,16
0,2017.0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,98.0,2021,9,16
0,2017.0,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,91.0,2021,9,16
0,2021.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,23.0,2021,9,16
0,2012.0,3,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,115.0,2021,9,16
1,2020.0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1.0,2021,9,16
0,2017.0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,122.0,2021,9,16
1,2021.0,4,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,2.0,2021,9,15
1,2014.0,7,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1.0,2021,9,15
0,2017.0,6,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,99.0,2021,9,15
0,2017.0,6,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,99.0,2021,9,15
0,2004.0,7,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,88.0,2021,9,15
0,2017.0,7,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,100.0,2021,9,15
1,2021.0,7,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6.0,2021,9,15
0,2011.0,6,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,102.0,2021,9,15
0,2008.0,7,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,93.0,2021,9,15
0,2009.0,7,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,96.0,2021,9,15
0,2007.0,7,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,95.0,2021,9,15
0,2010.0,6,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,85.0,2021,9,15
0,2005.0,7,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,97.0,2021,9,15
0,2006.0,7,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,95.0,2021,9,15
0,2004.0,7,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,83.0,2021,9,15
0,2021.0,7,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,103.0,2021,9,15
1,2021.0,8,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,6.0,2021,9,15
1,2014.0,4,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1.0,2021,9,15
1,2017.0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8.0,2021,9,15
0,2021.0,6,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,113.0,2021,9,15
