Unnamed: 0,title,cluster,PC1,PC2
0.0,Dick Johnson Is Dead,1.0,-39.44621920692505,-117.14111071799466
1.0,Blood & Water,0.0,-39.78883011479451,-118.13888070015153
2.0,Ganglands,0.0,-39.7959960766131,-118.13983738151549
3.0,Jailbirds New Orleans,0.0,-39.79473664377175,-118.13885323332917
4.0,Kota Factory,0.0,-39.787953527529105,-118.14276598544728
5.0,Midnight Mass,0.0,-39.79406372436898,-118.1393380600839
6.0,My Little Pony: A New Generation,1.0,-39.42790223748486,-118.13390326874786
7.0,Sankofa,1.0,-39.28855802285926,-118.148722965006
8.0,The Great British Baking Show,0.0,-39.76826717864051,-118.14059294647107
9.0,The Starling,1.0,-39.37423837769154,-118.1341231370904
10.0,"Vendetta: Truth, Lies and The Mafia",0.0,-39.796303452550546,-118.14012341483044
11.0,Bangkok Breaking,0.0,-39.78081823362523,-119.13759914971027
12.0,Je Suis Karl,1.0,-39.27055314189055,-119.1298167847333
13.0,Confessions of an Invisible Girl,1.0,-39.40430255075418,-120.12985529328793
14.0,Crime Stories: India Detectives,0.0,-39.764015414330686,-120.13514762978843
15.0,Dear White People,0.0,-39.75216480476977,-120.13774048562763
16.0,Europe's Most Dangerous Man: Otto Skorzeny in Spain,1.0,-39.49374236991384,-120.13224546129024
17.0,Falsa identidad,0.0,-39.75783758884189,-120.13799500074859
18.0,Intrusion,1.0,-39.38877006531192,-120.12746395225713
19.0,Jaguar,0.0,-39.765583635580505,-120.1343171591543
20.0,Monsters Inside: The 24 Faces of Billy Milligan,0.0,-39.76787300120976,-120.13585604508344
21.0,Resurrection: Ertugrul,0.0,-39.74558435978578,-120.14503432832551
22.0,Avvai Shanmughi,1.0,-39.107554391069264,-121.13682404902625
23.0,Go! Go! Cory Carson: Chrissy Takes the Wheel,1.0,-39.508113433963665,-121.12983584101082
24.0,Jeans,1.0,-39.07970368799387,-121.13911208277582
25.0,Love on the Spectrum,0.0,-39.746375351494784,-121.1311650402688
26.0,Minsara Kanavu,1.0,-39.16176591167037,-121.13675366907518
27.0,Grown Ups,1.0,-39.31019973139788,-122.1658471540016
28.0,Dark Skies,1.0,-39.31901141696825,-123.15234743039943
29.0,Paranoia,1.0,-39.28431246245869,-123.14816058428248
30.0,Ankahi Kahaniya,1.0,-39.24648093837826,-125.11603234302001
31.0,Chicago Party Aunt,0.0,-39.6900017965786,-125.1234120334432
32.0,Sex Education,0.0,-39.67706119252886,-125.1272439240586
33.0,Squid Game,0.0,-39.69052462851216,-125.1233026884089
34.0,Tayo and Little Wizards,0.0,-39.68824060865306,-125.1267785344159
35.0,The Father Who Moves Mountains,1.0,-39.249425086730064,-125.11657845000488
36.0,The Stronghold,1.0,-39.26883843577048,-125.115508269799
37.0,Angry Birds,0.0,-39.66942356352735,-126.13408877015587
38.0,Birth of the Dragon,1.0,-39.27963620896125,-126.13082978299927
39.0,Chhota Bheem,0.0,-39.661411648470924,-126.12376286919458
40.0,He-Man and the Masters of the Universe,0.0,-39.67468223419948,-126.12354337779665
41.0,Jaws,1.0,-39.16999512091856,-126.12903450169739
42.0,Jaws 2,1.0,-39.20351242681883,-126.1304200886245
43.0,Jaws 3,1.0,-39.2724610851732,-126.13117937572119
44.0,Jaws: The Revenge,1.0,-39.30119186347536,-126.1317308584561
45.0,My Heroes Were Cowboys,0.0,-39.5770503500194,-126.11947876791932
46.0,Safe House,1.0,-39.202769978102666,-126.14780154854633
47.0,The Smart Money Woman,0.0,-39.67421502067974,-126.12557371644985
48.0,Training Day,1.0,-39.1803115792415,-126.12928184309911
49.0,Castle and Castle,0.0,-39.65532639076245,-127.11881226610602
50.0,Dharmakshetra,0.0,-39.65083077133315,-127.14836867016304
51.0,InuYasha the Movie 2: The Castle Beyond the Looking Glass,1.0,-39.259690681468996,-127.13026427626237
52.0,InuYasha the Movie 3: Swords of an Honorable Ruler,1.0,-39.259690681468996,-127.13026427626237
53.0,InuYasha the Movie 4: Fire on the Mystic Island,1.0,-39.303730521514346,-127.13344882986094
54.0,InuYasha the Movie: Affections Touching Across Time,1.0,-39.2566864186458,-127.13030497522219
55.0,Nailed It,0.0,-39.640553477274224,-127.12048714406183
56.0,Naruto Shippuden the Movie: Blood Prison,1.0,-39.24250317726316,-127.1525819388087
57.0,Naruto Shippûden the Movie: Bonds,1.0,-39.27652428395475,-127.16451572071838
58.0,Naruto Shippûden the Movie: The Will of Fire,1.0,-39.26550478749671,-127.1605726423924
59.0,Naruto Shippuden: The Movie,1.0,-39.26770937970944,-127.16813955918494
60.0,Naruto Shippuden: The Movie: The Lost Tower,1.0,-39.30905899569057,-127.15741888874109
61.0,Naruto the Movie 2: Legend of the Stone of Gelel,1.0,-39.26802860024832,-127.13287419811395
62.0,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,1.0,-39.266828235745464,-127.17189109359526
63.0,Naruto the Movie: Ninja Clash in the Land of Snow,1.0,-39.32356492221769,-127.13376806972036
64.0,Nightbooks,1.0,-39.24947479281085,-127.1136202884286
65.0,Numberblocks,0.0,-39.638863559962225,-127.11972739660376
66.0,Raja Rasoi Aur Anya Kahaniyan,0.0,-39.65024801608919,-127.14882048748561
67.0,Saved by the Bell,0.0,-39.63072011744369,-127.135578873876
68.0,Schumacher,1.0,-39.20815731236981,-127.11187645806703
69.0,Stories by Rabindranath Tagore,0.0,-39.6541670994748,-127.14500711214998
70.0,Too Hot To Handle: Latino,0.0,-39.66034160531112,-127.11994277643004
71.0,A StoryBots Space Adventure,0.0,-39.59227877980071,-128.1172329210249
72.0,Jack Whitehall: Travels with My Father,0.0,-39.625106585900255,-128.11557644937955
73.0,King of Boys,1.0,-38.91270882415108,-128.11599907881146
74.0,The World's Most Amazing Vacation Rentals,0.0,-39.642975388762856,-128.11659470754134
75.0,You vs. Wild: Out Cold,1.0,-39.21950845744855,-128.1108768719126
76.0,Yowamushi Pedal,0.0,-39.638087991865675,-128.14772430074603
77.0,Little Singham - Black Shadow,0.0,-39.40608658026653,-131.10778085342056
78.0,Tughlaq Durbar,1.0,-39.019410588427846,-131.10292665637
79.0,Tughlaq Durbar (Telugu),1.0,-39.02029173239182,-131.09917512195966
80.0,Firedrake the Silver Dragon,1.0,-39.21141883560833,-132.10286825632025
81.0,Kate,1.0,-39.156891061386375,-132.10331696048894
82.0,Lucifer,0.0,-39.564596946864455,-132.10884579422466
83.0,Metal Shop Masters,0.0,-39.58334304499962,-132.10739198749727
84.0,Omo Ghetto: the Saga,1.0,-38.99302524117728,-132.1000359358463
85.0,Pokémon Master Journeys: The Series,0.0,-39.58581348706279,-132.1070512865775
86.0,Prey,1.0,-39.23311761545862,-132.10080646038088
87.0,Titipo Titipo,0.0,-39.58220956057876,-132.1152792339139
88.0,Blood Brothers: Malcolm X & Muhammad Ali,1.0,-39.181442999379186,-133.09721022780508
89.0,Mighty Raju,0.0,-39.55227379243618,-133.1199357392896
90.0,Paradise Hills,1.0,-39.186361178646365,-133.10786755936914
91.0,The Women and the Murderer,1.0,-39.199386290809116,-133.09808869889164
92.0,Into the Night,0.0,-39.54813976545001,-134.1031839426615
93.0,JJ+E,1.0,-39.18735187232685,-134.09598515647744
94.0,Show Dogs,1.0,-39.18350031394942,-134.11240993571886
95.0,The Circle,0.0,-39.542610236327064,-134.10600457627436
96.0,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,1.0,-39.14577934746414,-135.10740283982676
97.0,Kid Cosmic,0.0,-39.53310595520721,-135.10159356995575
98.0,Octonauts: Above & Beyond,0.0,-39.5405192280609,-135.10211872454485
99.0,On the Verge,0.0,-39.53600208888289,-135.10373807735073
100.0,Tobot Galaxy Detectives,0.0,-39.531614154669725,-135.10808390280226
101.0,Untold: Breaking Point,1.0,-39.21475039637529,-135.0958740222111
102.0,Countdown: Inspiration4 Mission to Space,0.0,-39.523827233223464,-136.0980892221438
103.0,Shadow Parties,1.0,-39.05381950891484,-136.0952624987547
104.0,Tayo the Little Bus,0.0,-39.51814362823371,-136.1188880616525
105.0,Angamaly Diaries,1.0,-38.98906139205677,-137.10482973619548
106.0,Bunk'd,0.0,-39.49147905189045,-137.09806832130312
107.0,A Champion Heart,1.0,-39.127863892016016,-138.10151056193476
108.0,Dive Club,0.0,-39.474610975207874,-139.08931025308672
109.0,La casa de papel,0.0,-39.4595318070647,-139.09193618210728
110.0,Money Heist: From Tokyo to Berlin,0.0,-39.47577676392803,-139.0912296945337
111.0,Sharkdog,0.0,-39.47801430819888,-139.09258558776946
112.0,Worth,1.0,-38.999505250422644,-139.08411170691653
113.0,Afterlife of the Party,1.0,-39.02358298244682,-140.08198669333055
114.0,Anjaam,1.0,-38.88465255517211,-140.0992150182972
115.0,Bright Star,1.0,-38.97221350791869,-140.1253403025303
116.0,Dhanak,1.0,-38.99715717782066,-140.1078271315977
117.0,Final Account,1.0,-39.08001449620068,-140.08691358166539
118.0,Gurgaon,1.0,-39.031427120376875,-140.101577393257
119.0,Here and There,1.0,-39.06366862931031,-140.08579651628145
120.0,Heroes of Goo Jit Zu,0.0,-39.462758877562976,-140.0883790944739
121.0,Hotel Del Luna,0.0,-39.462769309520546,-140.09819909945068
122.0,In the Cut,1.0,-38.98391208470864,-140.09453979837494
123.0,Luv Kushh,0.0,-39.45352381212325,-140.1232173326204
124.0,Pororo - The Little Penguin,0.0,-39.4480237832623,-140.1208219899579
125.0,Q-Force,0.0,-39.46049886433205,-140.09215134420378
126.0,Shikara,1.0,-38.997525280817655,-140.08808583953265
127.0,A Cinderella Story,1.0,-39.05555951832763,-141.10113570215722
128.0,Agatha Christie's Crooked House,1.0,-38.98129538772997,-141.09524454504
129.0,An Unfinished Life,1.0,-39.005836957683506,-141.09952155149344
130.0,Barbie Big City Big Dreams,1.0,-39.19626858679454,-141.08276441473026
131.0,Blade Runner: The Final Cut,1.0,-38.973769427616226,-141.096584426986
132.0,Brave Animated Series,0.0,-39.445728453889735,-141.08703926423823
133.0,Chappie,1.0,-38.95464909701208,-141.1022798711072
134.0,Clear and Present Danger,1.0,-38.87196263314463,-141.09250662376476
135.0,Cliffhanger,1.0,-38.987546530780854,-141.09769771445718
136.0,Cold Mountain,1.0,-38.82650300903369,-141.09429516904873
137.0,Crocodile Dundee in Los Angeles,1.0,-39.05746423087157,-141.09533670884667
138.0,Dear John,1.0,-39.00188326041033,-141.12340470107904
139.0,Do the Right Thing,1.0,-38.96171869972501,-141.09676836479076
140.0,"El patrón, radiografía de un crimen",1.0,-39.04004600261194,-141.10764963032977
141.0,Extraction,1.0,-39.107308077153604,-141.10839030098157
142.0,Freedom Writers,1.0,-38.93411389461258,-141.13363764907044
