cluster,PC1,PC2
1.0,-39.44621920692505,-117.14111071799466
0.0,-39.78883011479451,-118.13888070015153
0.0,-39.7959960766131,-118.13983738151549
0.0,-39.79473664377175,-118.13885323332917
0.0,-39.787953527529105,-118.14276598544728
0.0,-39.79406372436898,-118.1393380600839
1.0,-39.42790223748486,-118.13390326874786
1.0,-39.28855802285926,-118.148722965006
0.0,-39.76826717864051,-118.14059294647107
1.0,-39.37423837769154,-118.1341231370904
0.0,-39.796303452550546,-118.14012341483044
0.0,-39.78081823362523,-119.13759914971027
1.0,-39.27055314189055,-119.1298167847333
1.0,-39.40430255075418,-120.12985529328793
0.0,-39.764015414330686,-120.13514762978843
0.0,-39.75216480476977,-120.13774048562763
1.0,-39.49374236991384,-120.13224546129024
0.0,-39.75783758884189,-120.13799500074859
1.0,-39.38877006531192,-120.12746395225713
0.0,-39.765583635580505,-120.1343171591543
0.0,-39.76787300120976,-120.13585604508344
0.0,-39.74558435978578,-120.14503432832551
1.0,-39.107554391069264,-121.13682404902625
1.0,-39.508113433963665,-121.12983584101082
1.0,-39.07970368799387,-121.13911208277582
0.0,-39.746375351494784,-121.1311650402688
1.0,-39.16176591167037,-121.13675366907518
1.0,-39.31019973139788,-122.1658471540016
1.0,-39.31901141696825,-123.15234743039943
1.0,-39.28431246245869,-123.14816058428248
1.0,-39.24648093837826,-125.11603234302001
0.0,-39.6900017965786,-125.1234120334432
0.0,-39.67706119252886,-125.1272439240586
0.0,-39.69052462851216,-125.1233026884089
0.0,-39.68824060865306,-125.1267785344159
1.0,-39.249425086730064,-125.11657845000488
1.0,-39.26883843577048,-125.115508269799
0.0,-39.66942356352735,-126.13408877015587
1.0,-39.27963620896125,-126.13082978299927
0.0,-39.661411648470924,-126.12376286919458
0.0,-39.67468223419948,-126.12354337779665
1.0,-39.16999512091856,-126.12903450169739
1.0,-39.20351242681883,-126.1304200886245
1.0,-39.2724610851732,-126.13117937572119
1.0,-39.30119186347536,-126.1317308584561
0.0,-39.5770503500194,-126.11947876791932
